id,title,description,suiteId,moduleId,categoryId
keras_layer_embedding,add embedding layer with input dim %1 and output dim %2,Turns positive integers (indexes) into dense vectors of fixed size.,tensorflow,tensorflow,cat_layers
keras_layer_lstm,add LSTM layer with %1 units,Long Short-Term Memory layer.,tensorflow,tensorflow,cat_layers
keras_callback_earlystopping,"early stopping callback, monitor %1, patience %2",Stop training when a monitored metric has stopped improving.,tensorflow,tensorflow,cat_callbacks
keras_callback_modelcheckpoint,"model checkpoint callback, filepath %1, monitor %2",Callback to save the Keras model or model weights at some frequency.,tensorflow,tensorflow,cat_callbacks
keras_image_dataset_from_directory,image dataset from directory %1,Generates a tf.data.Dataset from image files in a directory.,tensorflow,tensorflow,cat_data_loading
sys_argv,command-line arguments,Returns the list of command-line arguments passed to a Python script.,standard_library,system,cat_system
sys_platform,platform identifier,"Returns a string identifying the platform (e.g., 'linux', 'win32').",standard_library,system,cat_system
system_os_getenv,get environment variable %1,Gets the value of an environment variable.,unassigned,system,unassigned
system_os_system,run shell command %1,Executes a shell command.,unassigned,system,unassigned
os_path_join,join path components %1,Joins one or more path components intelligently.,standard_library,system,cat_system
os_path_exists,path exists %1,Return True if path refers to an existing path or an open file descriptor.,standard_library,system,cat_system
os_path_basename,base name of path %1,Return the base name of pathname path.,standard_library,system,cat_system
os_path_dirname,directory name of path %1,Return the directory name of pathname path.,standard_library,system,cat_system
os_path_splitext,split extension of path %1,"Split the pathname path into a pair (root, ext).",standard_library,system,cat_system
os_mkdir,create directory at path %1,Create a directory.,standard_library,system,cat_system
os_makedirs,create directory (and parents) at path %1,Recursive directory creation function.,standard_library,system,cat_system
os_rename,rename from %1 to %2,Rename the file or directory src to dst.,standard_library,system,cat_system
os_path_isfile,is path %1 a file?,Return True if path is an existing regular file.,standard_library,system,cat_system
os_path_isdir,is path %1 a directory?,Return True if path is an existing directory.,standard_library,system,cat_system
system_io_open,open file %1 in mode %2,Opens a file and returns a file object.,unassigned,system,unassigned
system_io_read,read from file %1,Reads the entire content of a file.,unassigned,system,unassigned
system_io_write,write %1 to file %2,Writes a string to a file.,unassigned,system,unassigned
system_io_close,close file %1,Closes a file.,unassigned,system,unassigned
system_io_remove,delete file at path %1,Deletes a file.,unassigned,system,unassigned
system_io_listdir,list files in directory %1,Returns a list of files in a directory.,unassigned,system,unassigned
text_regex_search,in text %1 find pattern %2,Searches for a regex pattern in a string. Returns the match object or None.,unassigned,strings_text_processing,unassigned
text_regex_replace,in text %1 replace pattern %2 with %3,Replaces all occurrences of a regex pattern in a string.,unassigned,strings_text_processing,unassigned
text_normalize,normalize %1 using form %2,Normalizes a Unicode string.,unassigned,strings_text_processing,unassigned
i18n_register_translation,register translation for language %1 with dictionary %2,Registers a dictionary of translations for a language.,unassigned,strings_text_processing,unassigned
i18n_translate,translate key %1 to language %2 || with fallback %3,Translates a key to the specified language.,unassigned,strings_text_processing,unassigned
text_is_numeric,is numeric %1,Checks if the string consists of only numeric characters.,unassigned,strings_text_processing,unassigned
text_find_all,in text %1 find all occurrences of %2,Finds all occurrences of a substring and returns a list of their starting indices.,unassigned,strings_text_processing,unassigned
text_compare_case_insensitive,is %1 equal to %2 (ignore case),Compares two strings ignoring case.,unassigned,strings_text_processing,unassigned
text_partition,partition %1 at first occurrence of %2,Partitions the string into a 3-tuple at the first occurrence of the separator.,unassigned,strings_text_processing,unassigned
text_swapcase,swap case of %1,Swaps the case of all characters in the string.,unassigned,strings_text_processing,unassigned
storage_migrate_schema,migrate schema with adapter %1,Migrates the database schema.,unassigned,storage_persistence,unassigned
storage_backup_db,backup database to path %1,Backs up the database to a file.,unassigned,storage_persistence,unassigned
storage_restore_db,restore database from path %1,Restores the database from a file.,unassigned,storage_persistence,unassigned
storage_orm_model_define,define ORM model %1 with fields %2,Defines an ORM model. (Gated),unassigned,storage_persistence,unassigned
storage_orm_create,in session %1 create %2 with data %3,Creates a new record using an ORM. (Gated),unassigned,storage_persistence,unassigned
storage_orm_query,in session %1 query %2 with filters %3,Queries for records using an ORM. (Gated),unassigned,storage_persistence,unassigned
storage_db_connect_sqlite,connect to sqlite db at path %1,Connects to a SQLite database.,unassigned,storage_persistence,unassigned
storage_db_query,on connection %1 execute query %2 with params %3,Executes a SQL query and returns the results.,unassigned,storage_persistence,unassigned
storage_db_select,on connection %1 select from %2 where %3,Selects rows from a table.,unassigned,storage_persistence,unassigned
storage_db_insert,on connection %1 insert into %2 data %3,Inserts a new row into a table.,unassigned,storage_persistence,unassigned
storage_db_update,on connection %1 update %2 set %3 where %4,Updates rows in a table.,unassigned,storage_persistence,unassigned
storage_db_transaction,on connection %1 do in transaction %2,Executes a block of code in a database transaction.,unassigned,storage_persistence,unassigned
storage_cache_set,in cache set key %1 to value %2 with TTL (s) %3,Sets a value in the cache with an optional time-to-live.,unassigned,storage_persistence,unassigned
storage_cache_get,in cache get key %1,Gets a value from the cache.,unassigned,storage_persistence,unassigned
storage_cache_delete,in cache delete key %1,Deletes a value from the cache.,unassigned,storage_persistence,unassigned
storage_cache_incr,in cache increment key %1 by %2,Increments a value in the cache.,unassigned,storage_persistence,unassigned
sklearn_train_test_split,split arrays %1 and labels %2 into train and test sets,"Split arrays or matrices into random train and test subsets. Returns a list containing [X_train, X_test, y_train, y_test].",scikit_learn,sklearn,cat_model_selection
sklearn_pipeline,create pipeline %1,Construct a pipeline from a list of transformers and a final estimator.,scikit_learn,sklearn,cat_pipelines
sklearn_standard_scaler,create standard scaler,Standardize features by removing the mean and scaling to unit variance.,scikit_learn,sklearn,cat_preprocessing
sklearn_min_max_scaler,create min-max scaler,Transform features by scaling each feature to a given range.,scikit_learn,sklearn,cat_preprocessing
sklearn_one_hot_encoder,create one-hot encoder,Encode categorical features as a one-hot numeric array.,scikit_learn,sklearn,cat_preprocessing
sklearn_label_encoder,create label encoder,Encode target labels with value between 0 and n_classes-1.,scikit_learn,sklearn,cat_preprocessing
sklearn_logistic_regression,logistic regression classifier,"Logistic Regression (aka logit, MaxEnt) classifier.",scikit_learn,sklearn,cat_models
sklearn_k_neighbors_classifier,k-neighbors classifier with %1 neighbors,Classifier implementing the k-nearest neighbors vote.,scikit_learn,sklearn,cat_models
sklearn_svc,support vector classifier (SVC),C-Support Vector Classification.,scikit_learn,sklearn,cat_models
sklearn_random_forest_classifier,random forest classifier with %1 estimators,A random forest classifier.,scikit_learn,sklearn,cat_models
sklearn_linear_regression,linear regression model,Ordinary least squares Linear Regression.,scikit_learn,sklearn,cat_models
sklearn_ridge_regression,ridge regression model with alpha %1,Linear least squares with l2 regularization.,scikit_learn,sklearn,cat_models
sklearn_svr,support vector regression (SVR),Epsilon-Support Vector Regression.,scikit_learn,sklearn,cat_models
sklearn_kmeans,k-means clustering with %1 clusters,K-Means clustering.,scikit_learn,sklearn,cat_models
sklearn_grid_search_cv,grid search cross-validation for estimator %1,Exhaustive search over specified parameter values for an estimator.,scikit_learn,sklearn,cat_model_selection
sklearn_accuracy_score,accuracy score for y_true %1 y_pred %2,Accuracy classification score.,scikit_learn,sklearn,cat_metrics
sklearn_precision_score,precision score for y_true %1 y_pred %2,Compute the precision.,scikit_learn,sklearn,cat_metrics
sklearn_recall_score,recall score for y_true %1 y_pred %2,Compute the recall.,scikit_learn,sklearn,cat_metrics
sklearn_f1_score,f1 score for y_true %1 y_pred %2,"Compute the F1 score, also known as balanced F-score or F-measure.",scikit_learn,sklearn,cat_metrics
sklearn_confusion_matrix,confusion matrix for y_true %1 y_pred %2,Compute confusion matrix to evaluate the accuracy of a classification.,scikit_learn,sklearn,cat_metrics
sklearn_mean_squared_error,mean squared error for y_true %1 y_pred %2,Mean squared error regression loss.,scikit_learn,sklearn,cat_metrics
sklearn_r2_score,r2 score for y_true %1 y_pred %2,R^2 (coefficient of determination) regression score function.,scikit_learn,sklearn,cat_metrics
serialization_to_json,convert to JSON string %1,Serializes a dictionary or list into a JSON string.,unassigned,serialization_data,unassigned
serialization_from_json,parse JSON from string %1,Deserializes a JSON string into a dictionary or list.,unassigned,serialization_data,unassigned
serialization_write_csv,write to CSV file at path %1 data (list of dicts) %2,Writes a list of dictionaries to a CSV file in the virtual filesystem.,unassigned,serialization_data,unassigned
serialization_read_csv,read CSV file from path %1,Reads a CSV file from the virtual filesystem into a list of dictionaries.,unassigned,serialization_data,unassigned
security_jwt_encode,JWT encode payload %1 with key %2 algorithm %3,Encodes a JWT token.,unassigned,security_keys,unassigned
security_jwt_decode,JWT decode token %1 with key %2,Decodes a JWT token.,unassigned,security_keys,unassigned
security_hash_sha256,hash sha256 of %1,Hashes data using SHA256.,unassigned,security_keys,unassigned
security_hmac_sha256,hmac sha256 with key %1 data %2,Creates an HMAC-SHA256 signature.,unassigned,security_keys,unassigned
security_generate_random_bytes,generate %1 random bytes,Generates a number of random bytes.,unassigned,security_keys,unassigned
security_secrets_store_save,in secrets store save key %1 with secret %2,Saves a secret to the secret store.,unassigned,security_keys,unassigned
security_secrets_get_ref,get secret reference for key %1,"Gets a reference to a secret, not the secret itself.",unassigned,security_keys,unassigned
security_encrypt_sym,symmetrically encrypt %1 with key %2,Symmetrically encrypts data.,unassigned,security_keys,unassigned
security_decrypt_sym,symmetrically decrypt %1 with key %2,Symmetrically decrypts data.,unassigned,security_keys,unassigned
requests_get,send GET request to url %1,Sends a GET request.,networking,requests,cat_http_requests
re_compile,compile regex pattern %1,Compiles a regular expression pattern into a regex object.,standard_library,re,cat_regex
re_search,search for pattern %1 in string %2,Scans through a string looking for the first location where the regular expression pattern produces a match.,standard_library,re,cat_regex
re_match,match pattern %1 at start of string %2,"If zero or more characters at the beginning of string match the regular expression pattern, return a corresponding match object.",standard_library,re,cat_regex
re_findall,find all matches for pattern %1 in string %2,"Return all non-overlapping matches of pattern in string, as a list of strings.",standard_library,re,cat_regex
re_sub,replace matches of pattern %1 with %2 in string %3,Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl.,standard_library,re,cat_regex
re_split,split string %1 by pattern %2,Split string by the occurrences of pattern.,standard_library,re,cat_regex
re_escape,escape special characters in %1,Escape special characters in a pattern.,standard_library,re,cat_regex
re_match_group,from match %1 get group %2,Returns a specific subgroup of the match.,standard_library,re,cat_regex
re_match_groups,get all groups from match %1,Returns a tuple containing all the subgroups of the match.,standard_library,re,cat_regex
pydantic_create_model,create Pydantic model %1 with fields %2,Creates a Pydantic model.,unassigned,pydantic,unassigned
pydantic_field,field %1: %2,Adds a field to a Pydantic model.,unassigned,pydantic,unassigned
pillow_image_create,create new image mode %1 size %2 color %3,"Creates a new image with the given mode, size, and color.",image_manipulation,pillow,cat_pillow
pillow_draw_line,on image %1 draw line from %2 to %3 fill %4 width %5,Draws a line on the given image.,image_manipulation,pillow,cat_pillow
pillow_draw_rectangle,on image %1 draw rectangle at %2 fill %3 outline %4 width %5,Draws a rectangle on the given image.,image_manipulation,pillow,cat_pillow
pillow_draw_ellipse,on image %1 draw ellipse in bounding box %2 fill %3 outline %4 width %5,Draws an ellipse on the given image.,image_manipulation,pillow,cat_pillow
pillow_draw_text,on image %1 draw text %2 at position %3 fill %4,Draws text on the given image.,image_manipulation,pillow,cat_pillow
pillow_image_filter,apply filter %1 to image %2,Applies a predefined filter to the image.,image_manipulation,pillow,cat_pillow
pandas_create_dataframe_from_dict,create pandas dataframe from dictionary %1,Create a pandas DataFrame from a dictionary of lists or arrays.,pandas,pandas,cat_dataframe
pandas_read_csv,read csv from %1,Read a comma-separated values (csv) file into a pandas DataFrame.,pandas,pandas,cat_dataframe
pandas_groupby_agg,in dataframe %1 group by %2,Group DataFrame using a mapper or by a Series of columns and apply aggregation.,pandas,pandas,cat_dataframe
pandas_to_csv,save dataframe %1 to csv at %2,Write object to a comma-separated values (csv) file.,pandas,pandas,cat_dataframe
pandas_head,get first %1 rows of dataframe %2,Return the first n rows.,pandas,pandas,cat_dataframe
pandas_info,print summary of dataframe %1,Print a concise summary of a DataFrame.,pandas,pandas,cat_dataframe
pandas_describe,get descriptive statistics of dataframe %1,Generate descriptive statistics.,pandas,pandas,cat_dataframe
pandas_filter,filter dataframe %1 where %2,Filter rows of a DataFrame based on a boolean condition.,pandas,pandas,cat_dataframe
pandas_sort_values,sort dataframe %1 by %2 ascending %3,Sort by the values along either axis.,pandas,pandas,cat_dataframe
pandas_dropna,in dataframe %1 drop missing values,Remove missing values.,pandas,pandas,cat_dataframe
pandas_fillna,in dataframe %1 fill missing values with %2,Fill NA/NaN values using the specified method.,pandas,pandas,cat_dataframe
pandas_select_column,from dataframe %1 select column %2,"Select a single column from a DataFrame, which returns a Series.",pandas,pandas,cat_dataframe
pandas_loc,from dataframe %1 select rows by label %2 and columns %3,Access a group of rows and columns by label(s) or a boolean array.,pandas,pandas,cat_dataframe
pandas_iloc,from dataframe %1 select rows by position %2 and columns %3,Purely integer-location based indexing for selection by position.,pandas,pandas,cat_dataframe
pandas_shape,shape of dataframe %1,Return a tuple representing the dimensionality of the DataFrame.,pandas,pandas,cat_dataframe
pandas_dtypes,data types of dataframe %1,Return the dtypes in the DataFrame.,pandas,pandas,cat_dataframe
pandas_value_counts,count unique values in column %1 of dataframe %2,Return a Series containing counts of unique values.,pandas,pandas,cat_dataframe
pandas_corr,compute pairwise correlation of columns in dataframe %1,"Compute pairwise correlation of columns, excluding NA/null values.",pandas,pandas,cat_dataframe
pandas_merge,merge left dataframe %1 with right dataframe %2,Merge DataFrame or named Series objects with a database-style join.,pandas,pandas,cat_dataframe
pandas_concat,concatenate dataframes %1,Concatenate pandas objects along a particular axis.,pandas,pandas,cat_dataframe
pandas_drop,from dataframe %1 drop labels %2 from axis %3,Drop specified labels from rows or columns.,pandas,pandas,cat_dataframe
pandas_rename,in dataframe %1 rename with mapper %2,Alter axes labels.,pandas,pandas,cat_dataframe
pandas_get_columns,get columns from dataframe %1,Get the column labels of the DataFrame.,pandas,pandas,cat_dataframe
pandas_get_index,get index from dataframe %1,Get the index (row labels) of the DataFrame.,pandas,pandas,cat_dataframe
pandas_get_values,get numpy values from dataframe %1,Get the numpy representation of the DataFrame.,pandas,pandas,cat_dataframe
pandas_drop_duplicates,from dataframe %1 drop duplicates,Return DataFrame with duplicate rows removed.,pandas,pandas,cat_dataframe
pandas_apply,in dataframe %1 apply function %2 on axis %3,Apply a function along an axis of the DataFrame.,pandas,pandas,cat_dataframe
pandas_pivot_table,create pivot table from dataframe %1 with values %2 index %3 columns %4,Create a spreadsheet-style pivot table as a DataFrame.,pandas,pandas,cat_dataframe
pandas_to_datetime,convert %1 to datetime,Convert argument to datetime.,pandas,pandas,cat_dataframe
pandas_to_dict,convert dataframe %1 to dictionary,Convert the DataFrame to a dictionary.,pandas,pandas,cat_dataframe
numpy_array,create numpy array from %1 with data type %2,"Create a new numpy array from a list, with an optional data type.",numpy,numpy,cat_array
numpy_arange,numpy array from range start %1 stop %2 step %3,Return evenly spaced values within a given interval.,numpy,numpy,cat_array
numpy_reshape,reshape numpy array %1 to shape %2,Gives a new shape to an array without changing its data.,numpy,numpy,cat_array
numpy_zeros,create numpy array of zeros with shape %1,"Return a new array of given shape and type, filled with zeros.",numpy,numpy,cat_array
numpy_ones,create numpy array of ones with shape %1,"Return a new array of given shape and type, filled with ones.",numpy,numpy,cat_array
numpy_concatenate,concatenate numpy arrays %1 on axis %2,Join a sequence of arrays along an existing axis.,numpy,numpy,cat_array
numpy_vstack,stack arrays vertically %1,Stack arrays in sequence vertically (row wise).,numpy,numpy,cat_array
numpy_hstack,stack arrays horizontally %1,Stack arrays in sequence horizontally (column wise).,numpy,numpy,cat_array
numpy_split,split array %1 into %2 sections on axis %3,Split an array into multiple sub-arrays.,numpy,numpy,cat_array
numpy_sum,sum of numpy array %1,Sum of array elements over a given axis.,numpy,numpy,cat_array
numpy_mean,mean of numpy array %1,Compute the arithmetic mean along the specified axis.,numpy,numpy,cat_array
numpy_std,standard deviation of numpy array %1,Compute the standard deviation along the specified axis.,numpy,numpy,cat_array
numpy_dot,dot product of %1 and %2,Dot product of two arrays.,numpy,numpy,cat_array
numpy_elementwise_op,%1 %2 %3,Perform an element-wise operation on two arrays.,numpy,numpy,cat_array
numpy_indexing,from array %1 get element at index %2,Access a single element from an array using its index.,numpy,numpy,cat_array
numpy_slicing,from array %1 get slice %2,Access a subarray using slicing.,numpy,numpy,cat_array
media_nlp_tokenize,tokenize text %1,Tokenizes a text into words.,unassigned,media_perception,unassigned
media_nlp_sentences,get sentences from text %1,Splits a text into sentences.,unassigned,media_perception,unassigned
media_nlp_pos_tag,part-of-speech tag tokens %1,Performs part-of-speech tagging on a list of tokens.,unassigned,media_perception,unassigned
media_nlp_lemmatize,lemmatize token %1,Lemmatizes a word token.,unassigned,media_perception,unassigned
media_nlp_nltk_download,download nltk resource %1,Downloads an NLTK resource.,unassigned,media_perception,unassigned
media_nlp_nltk_word_tokenize,tokenize text into words with nltk %1,Tokenizes a text into words using NLTK.,unassigned,media_perception,unassigned
media_nlp_nltk_sent_tokenize,tokenize text into sentences with nltk %1,Tokenizes a text into sentences using NLTK.,unassigned,media_perception,unassigned
media_nlp_nltk_stopwords,get nltk stopwords for language %1,Gets a list of stopwords for a given language from NLTK.,unassigned,media_perception,unassigned
media_nlp_spacy_load,load spacy model %1,Loads a spaCy model.,unassigned,media_perception,unassigned
media_nlp_spacy_doc,process text with spacy model %1 %2,Processes a text with a spaCy model to create a Doc object.,unassigned,media_perception,unassigned
media_nlp_spacy_token_lemma,get lemma of spacy token %1,Gets the lemma of a spaCy token.,unassigned,media_perception,unassigned
media_nlp_spacy_token_pos,get part-of-speech of spacy token %1,Gets the part-of-speech of a spaCy token.,unassigned,media_perception,unassigned
media_nlp_transformers_pipeline,create transformers pipeline for task %1,Creates a Hugging Face Transformers pipeline for a given task.,unassigned,media_perception,unassigned
media_nlp_transformers_run_pipeline,run transformers pipeline %1 with input %2,Runs a Transformers pipeline with a given input.,unassigned,media_perception,unassigned
media_img_load,load image from path %1,Loads an image from a file path.,unassigned,media_perception,unassigned
media_img_resize,resize image %1 to width %2 height %3,Resizes an image.,unassigned,media_perception,unassigned
media_img_crop,"crop image %1 with box (left, upper, right, lower) %2",Crops an image.,unassigned,media_perception,unassigned
